state_id,audit_name,metabolite_id,metabolite_name,role,old_coeff,new_coeff,delta,allowed_to_change,status,message
initial_high_sugar_high_n,gam,s_0394,ADP,adp,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
initial_high_sugar_high_n,gam,s_0434,ATP,atp,-142.76930434782608,-30.34748322012578,112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
initial_high_sugar_high_n,gam,s_0794,H+,h,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
initial_high_sugar_high_n,gam,s_0803,H2O,h2o,-142.76930434782608,-30.34748322012578,112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
initial_high_sugar_high_n,gam,s_1322,phosphate,pi,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
lag_osmotic,gam,s_0394,ADP,adp,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
lag_osmotic,gam,s_0434,ATP,atp,-142.76930434782608,-30.34748322012578,112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
lag_osmotic,gam,s_0794,H+,h,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
lag_osmotic,gam,s_0803,H2O,h2o,-142.76930434782608,-30.34748322012578,112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
lag_osmotic,gam,s_1322,phosphate,pi,142.76930434782608,30.34748322012578,-112.4218211277003,True,PASS,cambio permitido en hidrólisis ATP
growth_n_available,gam,s_0394,ADP,adp,69.0084347826087,31.530917427837025,-37.47751735477168,True,PASS,cambio permitido en hidrólisis ATP
growth_n_available,gam,s_0434,ATP,atp,-69.0084347826087,-31.530917427837025,37.47751735477168,True,PASS,cambio permitido en hidrólisis ATP
growth_n_available,gam,s_0794,H+,h,69.0084347826087,31.530917427837025,-37.47751735477168,True,PASS,cambio permitido en hidrólisis ATP
growth_n_available,gam,s_0803,H2O,h2o,-69.0084347826087,-31.530917427837025,37.47751735477168,True,PASS,cambio permitido en hidrólisis ATP
growth_n_available,gam,s_1322,phosphate,pi,69.0084347826087,31.530917427837025,-37.47751735477168,True,PASS,cambio permitido en hidrólisis ATP
n_limited_sugar_available,gam,s_0394,ADP,adp,51.482191147669404,24.392,-27.090191147669405,True,PASS,cambio permitido en hidrólisis ATP
n_limited_sugar_available,gam,s_0434,ATP,atp,-51.482191147669404,-24.392,27.090191147669405,True,PASS,cambio permitido en hidrólisis ATP
n_limited_sugar_available,gam,s_0794,H+,h,51.482191147669404,24.392,-27.090191147669405,True,PASS,cambio permitido en hidrólisis ATP
